route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 578,Super Deluxe Non AC Seater Air Bus (2+2),18:00,10h 00m,4:00,3.1,INR 513,26
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:00,08h 35m,3:35,3.4,INR 688,10
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 1583,Super Deluxe Non AC Seater Air Bus (2+2),20:02,09h 19m,5:21,3.7,INR 640,18
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,09h 00m,6:00,4,INR 620,15
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 1584,Super Deluxe Non AC Seater Air Bus (2+2),21:29,09h 09m,6:38,3.8,INR 640,28
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:06,08h 35m,6:41,3.5,INR 640,23
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 549,Super Deluxe Non AC Seater Air Bus (2+2),22:15,07h 58m,6:13,1.9,INR 640,22
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 96,Swift Deluxe Non AC Air Bus (2+2),23:05,08h 25m,7:30,3.4,INR 567,11
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,KSRTC (Kerala) - 170,Swift Deluxe Non AC Air Bus (2+2),23:50,06h 50m,6:40,2.6,INR 567,25
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,MMK Travels,VE A/C Seater / Sleeper (2+1),21:30,08h 30m,6:00,4.4,INR 700,27
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,NS Transports,Non A/C Seater / Sleeper (2+1),20:30,10h 05m,6:35,4.2,INR 699,23
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,AdSURAJ TRAVEL HOUSE,VE A/C Seater / Sleeper (2+1),20:45,09h 15m,6:00,3.9,INR 700,31
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,P K Travels,A/C Sleeper (2+1),20:00,10h 00m,6:00,4.2,INR 1100,32
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,NS Transports,VE A/C Sleeper (2+1),21:16,09h 14m,6:30,4.2,INR 949,21
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,DLT BUS,A/C Sleeper (2+1),21:45,08h 45m,6:30,4,INR 899,21
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,AdSAAM BUS,Bharat Benz A/C Sleeper (2+1),20:30,09h 45m,6:15,3.8,832,21
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Suraj Holidays,VE A/C Sleeper (2+1),22:00,09h 15m,7:15,4,INR 850,22
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,National travels and logistics,NON A/C Sleeper (2+1),20:45,09h 30m,6:15,3.9,599,17
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,P K Travels,A/C Sleeper (2+1),21:30,09h 00m,6:30,3.8,INR 950,26
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,A1 Travels,Non A/C Seater / Sleeper (2+1),21:30,09h 00m,6:30,3.7,INR 600,30
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:30,09h 00m,6:30,3.6,INR 999,21
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),21:10,10h 05m,7:15,3.4,INR 899,21
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Suraj Holidays,NON AC Seater / Sleeper 2+1,21:00,08h 55m,5:55,3.5,INR 700,30
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:15,10h 00m,7:15,4.1,INR 750,36
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,09h 30m,6:30,3.8,INR 599,32
Kozhikode to Bangalore Bus,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore?fromCityId=74661&toCityId=122&fromCityName=Kozhikode&toCityName=Bangalore&busType=Any&opId=0&onward=18-Jul-2024&srcCountry=IND&destCountry=IND,NS Transports,NON A/C Sleeper (2+1),22:00,09h 05m,7:05,4.1,INR 799,11
